;RestaurantName;AverageCostForTwo;AggregateRating;RatingText;Votes;Date;Coordinates;City/Country/Continent
4574;Changezi Chicken;650;3.7;Good;456.0;2018-09-29T19:15:34Z;[28.65492631, 77.20037386];New Delhi/India/Asia
4575;Chargrill Resto Bar;900;3.6;Good;43.0;2018-09-08T07:11:06Z;[28.64902483, 77.18920581];New Delhi/India/Asia
4576;Chowringhee;200;3.7;Good;120.0;2016-06-14T05:48:54Z;[28.64350406, 77.19041716];New Delhi/India/Asia
4577;Glenz Cafe N Bakers;700;3.8;Good;230.0;2017-01-04T03:50:32Z;[28.6471752, 77.18855];New Delhi/India/Asia
4578;Happy2Bake;300;3.5;Good;26.0;2017-02-15T14:50:32Z;[28.64575501, 77.18687464];New Delhi/India/Asia
4579;Nazeer Foods;600;3.5;Good;27.0;2017-11-17T13:59:03Z;[28.652187100000003, 77.1941204];New Delhi/India/Asia
4580;Pakode Ki Dukaan;50;3.6;Good;35.0;2016-10-23T14:16:56Z;[28.65306658, 77.19434593];New Delhi/India/Asia
4581;Peshawari Chicken Corner;500;3.6;Good;76.0;2017-01-29T09:43:20Z;[28.65448764, 77.19039503];New Delhi/India/Asia
4582;Prem Dhaba;650;3.7;Good;177.0;2018-02-28T22:58:44Z;[28.65494308, 77.20031988];New Delhi/India/Asia
4583;Ravi Raj Di Kulfi;150;3.6;Good;99.0;2018-05-25T13:31:13Z;[28.649659000000003, 77.1901673];New Delhi/India/Asia
4584;Shawarma King's;250;3.7;Good;136.0;2018-01-29T09:26:24Z;[28.64337636, 77.18897313];New Delhi/India/Asia
4585;Shri Rama Restaurant;600;3.5;Good;72.0;2016-09-19T19:37:44Z;[28.65951887, 77.18914345];New Delhi/India/Asia
4586;Sri Balaji;600;3.5;Good;88.0;2018-12-02T15:18:40Z;[28.6455898, 77.1907064];New Delhi/India/Asia
4587;Standard Burfee;200;3.8;Good;100.0;2017-01-25T15:30:11Z;[28.6507302, 77.1928736];New Delhi/India/Asia
4588;Subway;500;3.6;Good;118.0;2018-06-09T10:02:48Z;[28.6467961, 77.1892688];New Delhi/India/Asia
4589;Suruchi;700;3.8;Good;603.0;2018-11-12T01:18:13Z;[28.647073, 77.18852700000001];New Delhi/India/Asia
4590;Tera Hotel;350;3.5;Good;149.0;2018-06-29T12:41:02Z;[28.6491762, 77.1911718];New Delhi/India/Asia
4591;The Diet Kitchen;700;3.7;Good;39.0;2018-10-31T00:04:25Z;[28.65337815, 77.19195507];New Delhi/India/Asia
4592;The Spot;350;3.5;Good;109.0;2018-10-18T04:00:38Z;[28.65317426, 77.191827];New Delhi/India/Asia
4593;Wrapss;350;3.5;Good;214.0;2016-02-25T18:40:40Z;[28.6435122, 77.19052669999999];New Delhi/India/Asia
4594;Wrapss;350;3.5;Good;64.0;2016-06-15T07:58:54Z;[28.64338136, 77.18890373];New Delhi/India/Asia
4595;Al Naseem Foods Shawarma;200;0.0;Not rated;0.0;2018-07-20T15:41:24Z;[28.66, 77.2];New Delhi/India/Asia
4596;Ganpati Bhoj;350;0.0;Not rated;1.0;2018-12-18T04:33:04Z;[28.66188863, 77.20509924];New Delhi/India/Asia
4597;Pandit Dhaba;300;0.0;Not rated;0.0;2017-04-19T03:40:47Z;[28.6585277, 77.20328409999999];New Delhi/India/Asia
4598;Red Chili Potato;150;0.0;Not rated;0.0;2017-03-24T00:48:28Z;[28.65867981, 77.20279790000001];New Delhi/India/Asia
4599;Cafe Coffee Day;450;2.3;Poor;32.0;2017-10-23T11:41:39Z;[28.64438885, 77.18823351];New Delhi/India/Asia
4600;Jade Garden;1000;2.4;Poor;52.0;2017-08-26T03:54:48Z;[28.64877767, 77.18952768];New Delhi/India/Asia
4601;Art of Spices;500;4.0;Very Good;841.0;2017-04-06T22:03:24Z;[28.64349552, 77.19061162];New Delhi/India/Asia
4602;Sindhi Corner;200;4.0;Very Good;74.0;2017-03-29T10:57:23Z;[28.65467653, 77.19055898];New Delhi/India/Asia
4603;The Feast House;1050;4.3;Very Good;142.0;2017-06-22T10:34:54Z;[28.64370267, 77.18803234];New Delhi/India/Asia
4604;Zaffran;2000;4.5;Excellent;524.0;2016-09-12T01:14:27Z;[28.556869, 77.23292629999999];New Delhi/India/Asia
4605;McDonald's;500;3.3;Average;132.0;2016-10-05T02:13:06Z;[28.6676442, 77.22933370000001];New Delhi/India/Asia
4606;Captain Grub;1000;3.1;Average;18.0;2016-03-20T20:55:47Z;[28.599754200000003, 77.2263032];New Delhi/India/Asia
4607;M:Eat by Blanco;300;3.3;Average;29.0;2017-02-23T17:47:36Z;[28.600525800000003, 77.2273577];New Delhi/India/Asia
4608;Omazoni;650;2.5;Average;120.0;2017-04-14T05:45:02Z;[28.6004185, 77.22529190000002];New Delhi/India/Asia
4609;Prabhu Chaat Bhandar;150;3.2;Average;242.0;2018-08-06T09:24:45Z;[28.6095619, 77.22767209999999];New Delhi/India/Asia
4610;Sugar & Spice - Le Marche;800;3.3;Average;89.0;2018-06-01T12:12:17Z;[28.6003209, 77.22708829999999];New Delhi/India/Asia
4611;Big Chill;1500;4.5;Excellent;4986.0;2017-04-14T04:21:35Z;[28.6006239, 77.2274475];New Delhi/India/Asia
4612;Big Chill;1500;4.6;Excellent;1569.0;2017-05-01T07:56:49Z;[28.6005429, 77.22753730000001];New Delhi/India/Asia
4613;Amici Cafe;1200;3.8;Good;863.0;2016-08-31T20:16:32Z;[28.6008757, 77.2272679];New Delhi/India/Asia
4614;Azam's Mughlai;600;3.9;Good;157.0;2018-09-03T16:23:06Z;[28.599936100000004, 77.2260623];New Delhi/India/Asia
4615;Boombox Cafe;2000;3.6;Good;1428.0;2017-07-05T18:05:33Z;[28.5999579, 77.2261003];New Delhi/India/Asia
4616;Cafe Illuminatii;2500;3.6;Good;300.0;2016-04-28T03:25:10Z;[28.5999453, 77.22690859999999];New Delhi/India/Asia
4617;Cafe Turtle;1000;3.6;Good;574.0;2017-11-01T02:27:42Z;[28.600052, 77.22708829999999];New Delhi/India/Asia
4618;China Fare;1000;3.7;Good;243.0;2018-02-16T20:55:11Z;[28.5999935, 77.2276954];New Delhi/India/Asia
4619;Chokola;700;3.8;Good;391.0;2016-12-25T17:36:59Z;[28.599780900000003, 77.2265943];New Delhi/India/Asia
4620;Cravings By Arshi Dhupia;800;3.6;Good;29.0;2016-10-11T02:17:12Z;[28.6025572, 77.2279864];New Delhi/India/Asia
4621;Harry's Bar + Cafe;1700;3.7;Good;395.0;2017-02-18T10:39:23Z;[28.6001414, 77.2267949];New Delhi/India/Asia
4622;Khan Chacha;650;3.7;Good;2860.0;2018-09-14T23:26:54Z;[28.6007455, 77.2273128];New Delhi/India/Asia
4623;La Bodega;1700;3.6;Good;505.0;2016-10-12T14:26:48Z;[28.6003637, 77.22753730000001];New Delhi/India/Asia
4624;La Vie;1400;3.9;Good;454.0;2016-06-26T10:23:59Z;[28.6007115, 77.227379];New Delhi/India/Asia
4625;Latitude 28;2000;3.8;Good;203.0;2016-05-18T12:35:51Z;[28.5996365, 77.2264353];New Delhi/India/Asia
4626;Laziz Kabab (Subhash Restaurant);400;3.7;Good;79.0;2018-01-13T11:54:54Z;[28.6006577, 77.2259206];New Delhi/India/Asia
4627;Mr. Choy;1200;3.9;Good;287.0;2017-08-23T23:27:43Z;[28.599757500000003, 77.22681879999999];New Delhi/India/Asia
4628;Public Affair;2100;3.8;Good;199.0;2018-05-26T19:09:09Z;[28.599780900000003, 77.2265943];New Delhi/India/Asia
4629;Qureshi Kabab;450;3.5;Good;17.0;2018-08-10T03:48:45Z;[28.602474, 77.2280043];New Delhi/India/Asia
4630;Side Wok;2000;3.9;Good;372.0;2016-12-21T06:25:10Z;[28.5999538, 77.2269984];New Delhi/India/Asia
4631;Subway;500;3.7;Good;188.0;2017-03-13T23:32:48Z;[28.5998597, 77.2260104];New Delhi/India/Asia
4632;t Lounge by Dilmah;800;3.6;Good;34.0;2017-05-11T16:15:45Z;[28.6010869, 77.22713320000001];New Delhi/India/Asia
4633;The Blue Door Cafe;1700;3.7;Good;774.0;2018-10-06T13:55:49Z;[28.599954800000003, 77.2269577];New Delhi/India/Asia
4634;The Coffee Bean & Tea Leaf;700;3.8;Good;256.0;2017-10-31T12:52:55Z;[28.6000435, 77.2269984];New Delhi/India/Asia
4635;Town Hall;2500;3.8;Good;1186.0;2018-05-31T07:20:46Z;[28.600035100000003, 77.2270521];New Delhi/India/Asia
4636;Wok  In The Clouds;2000;3.8;Good;669.0;2017-01-06T14:06:15Z;[28.6005429, 77.22753730000001];New Delhi/India/Asia
4637;Cafe Coffee Day;450;0.0;Not rated;2.0;2018-05-23T14:47:55Z;[28.600273600000005, 77.2273075];New Delhi/India/Asia
4638;Civil House;1700;4.2;Very Good;113.0;2016-10-29T10:59:21Z;[28.600256899999994, 77.2273577];New Delhi/India/Asia
4639;L'Opera;400;4.0;Very Good;518.0;2016-06-03T10:40:31Z;[28.5997872, 77.2261901];New Delhi/India/Asia
4640;Mamagoto;1600;4.1;Very Good;1330.0;2018-01-14T14:37:52Z;[28.6005429, 77.22753730000001];New Delhi/India/Asia
4641;Out Of The Box;1550;4.0;Very Good;1203.0;2018-08-20T20:43:31Z;[28.5998768, 77.2261901];New Delhi/India/Asia
4642;Parallel;2000;4.0;Very Good;79.0;2017-06-27T10:46:01Z;[28.599731800000004, 77.2265493];New Delhi/India/Asia
4643;Perch Wine & Coffee Bar;2000;4.2;Very Good;551.0;2016-08-24T11:06:00Z;[28.5998768, 77.2261901];New Delhi/India/Asia
4644;Smoke House Deli;1650;4.0;Very Good;1093.0;2017-03-19T01:16:50Z;[28.6000435, 77.2269984];New Delhi/India/Asia
4645;Smokey's BBQ and Grill;2100;4.2;Very Good;578.0;2016-06-19T01:51:47Z;[28.6007136, 77.2274475];New Delhi/India/Asia
4646;SodaBottleOpenerWala;1300;4.2;Very Good;1914.0;2018-02-13T15:49:43Z;[28.600010600000005, 77.2262463];New Delhi/India/Asia
4647;The Artful Baker;600;4.0;Very Good;220.0;2016-09-04T04:42:12Z;[28.5997404, 77.2266392];New Delhi/India/Asia
4648;The Big Chill Cakery;700;4.4;Very Good;912.0;2016-07-12T14:38:37Z;[28.5998374, 77.2257861];New Delhi/India/Asia
4649;The Chatter House;1800;4.2;Very Good;436.0;2016-07-01T08:19:27Z;[28.600141600000004, 77.22708829999999];New Delhi/India/Asia
4650;Amaze Dining;1100;3.1;Average;10.0;2017-10-20T13:50:07Z;[28.6501384, 77.14382909999999];New Delhi/India/Asia
4651;Amritsari Naan & Kulcha;250;3.1;Average;12.0;2017-03-19T02:36:44Z;[28.646155600000004, 77.1391671];New Delhi/India/Asia
4652;Bangla Sweets;450;3.3;Average;13.0;2017-09-28T21:06:57Z;[28.6550605, 77.1380354];New Delhi/India/Asia
4653;Bj's Lounge & Cafe;700;3.0;Average;11.0;2016-10-07T13:34:46Z;[28.655071000000003, 77.136989];New Delhi/India/Asia
4654;BTW;400;3.2;Average;19.0;2017-06-29T12:01:12Z;[28.6542971, 77.1371133];New Delhi/India/Asia
4655;Cabana's Kabab & Curry's;450;3.3;Average;73.0;2017-04-28T17:22:38Z;[28.653603000000004, 77.14667220000001];New Delhi/India/Asia
4656;Cafe Coffee Day;450;3.2;Average;23.0;2017-12-30T08:06:36Z;[28.6543213, 77.13583709999999];New Delhi/India/Asia
4657;Chaap Point;150;3.2;Average;11.0;2016-01-19T08:23:27Z;[28.649155100000005, 77.13162309999998];New Delhi/India/Asia
4658;Chicken Chilli Corner;500;3.1;Average;10.0;2018-08-27T17:22:39Z;[28.648990500000004, 77.13068100000001];New Delhi/India/Asia
4659;Chinese Dragon;550;2.6;Average;49.0;2017-01-10T19:32:35Z;[28.6560415, 77.14067179999999];New Delhi/India/Asia
4660;Copper Restro Bar;1200;2.8;Average;15.0;2016-10-19T17:34:51Z;[28.6529002, 77.1423902];New Delhi/India/Asia
4661;Corner Sweets;200;3.2;Average;100.0;2017-07-16T10:15:25Z;[28.649375899999995, 77.1330407];New Delhi/India/Asia
4662;D'Casa;1100;2.7;Average;63.0;2017-07-22T17:30:04Z;[28.6554914, 77.1379553];New Delhi/India/Asia
4663;Delhi 15;800;2.7;Average;45.0;2016-06-30T08:20:56Z;[28.6556035, 77.1407751];New Delhi/India/Asia
4664;Dialogue Lounge & Cafí©;750;3.0;Average;4.0;2018-04-06T12:21:35Z;[28.6545957, 77.13732309999999];New Delhi/India/Asia
4665;Domino's Pizza;700;3.3;Average;57.0;2018-12-26T11:05:12Z;[28.6546527, 77.1374776];New Delhi/India/Asia
4666;Flavours From Heaven;650;3.3;Average;12.0;2016-06-17T22:21:29Z;[28.6541881, 77.136123];New Delhi/India/Asia
4667;Flavours Of Biryani;400;3.3;Average;35.0;2017-12-04T07:20:03Z;[28.6474775, 77.13122209999999];New Delhi/India/Asia
4668;Flirty Momo's;350;3.0;Average;6.0;2017-04-21T23:49:48Z;[28.6489945, 77.1306854];New Delhi/India/Asia
4669;Gedi Grill;700;3.4;Average;143.0;2016-08-15T11:21:12Z;[28.65784633, 77.14861963];New Delhi/India/Asia
4670;Green Chick Chop;350;2.7;Average;23.0;2016-07-03T17:39:43Z;[28.6497956, 77.1321064];New Delhi/India/Asia
4671;Indian Bites;550;2.7;Average;41.0;2016-11-10T13:33:32Z;[28.6563972, 77.1501141];New Delhi/India/Asia
4672;Karan's Vaishno Dhaba;300;3.2;Average;29.0;2017-04-24T20:44:38Z;[28.6489052, 77.13115920000001];New Delhi/India/Asia
4673;Le Swaadik;500;3.3;Average;13.0;2017-06-25T21:10:46Z;[28.648918, 77.1313623];New Delhi/India/Asia
4674;Let's Meet Up;350;3.2;Average;16.0;2017-11-04T19:47:15Z;[28.64679749, 77.14399081];New Delhi/India/Asia
4675;Madan's Kabab Centre;600;3.2;Average;31.0;2018-04-06T23:59:35Z;[28.648963, 77.1312308];New Delhi/India/Asia
4676;Midnight Fries;550;2.7;Average;46.0;2016-08-25T20:00:08Z;[28.6521954, 77.1438903];New Delhi/India/Asia
4677;Moradabadi Biryani;300;3.1;Average;9.0;2016-05-20T19:16:29Z;[28.6489773, 77.13067990000002];New Delhi/India/Asia
4678;Namdhari's Icecream & Bakers;300;2.8;Average;23.0;2016-09-25T07:41:32Z;[28.6522005, 77.1300673];New Delhi/India/Asia
4679;Pahariya Chicken Corner;400;3.1;Average;7.0;2017-02-01T00:00:59Z;[28.6484901, 77.13020259999999];New Delhi/India/Asia
4680;Pahariya Chicken;450;2.7;Average;15.0;2017-10-31T23:14:18Z;[28.6489962, 77.1306672];New Delhi/India/Asia
4681;Pappi Machhi Wala;450;3.2;Average;9.0;2018-03-15T08:43:55Z;[28.6522777, 77.12991540000002];New Delhi/India/Asia
4682;Pizza Hut Delivery;800;2.6;Average;67.0;2016-12-06T08:48:07Z;[28.6546474, 77.13749150000001];New Delhi/India/Asia
4683;Polka Cakes & Coffee;400;3.3;Average;17.0;2017-01-10T01:35:01Z;[28.650206, 77.1366651];New Delhi/India/Asia
4684;Punjabi Joint;600;2.8;Average;4.0;2016-02-14T05:02:28Z;[28.6553478, 77.1422056];New Delhi/India/Asia
4685;Rain Tree Grill;1200;3.2;Average;74.0;2017-02-22T15:50:40Z;[28.655369, 77.1384066];New Delhi/India/Asia
4686;Resunga Food Corner;600;3.0;Average;5.0;2016-10-08T01:46:57Z;[28.6494447, 77.1317062];New Delhi/India/Asia
4687;Shri Ram Poori Wale;50;2.8;Average;8.0;2016-01-10T18:40:56Z;[28.657062100000005, 77.1407866];New Delhi/India/Asia
4688;Supa's Restaurant;800;3.2;Average;50.0;2016-09-02T08:05:19Z;[28.6506233, 77.142172];New Delhi/India/Asia
4689;Swad Fast Food;300;2.9;Average;16.0;2018-12-31T07:02:59Z;[28.65249167, 77.13043333];New Delhi/India/Asia
4690;Syall Kotian Da Dhaba;600;3.0;Average;20.0;2016-07-04T01:23:20Z;[28.6489309, 77.1313127];New Delhi/India/Asia
4691;The Krib;2500;3.2;Average;14.0;2016-10-10T14:40:40Z;[28.655728600000003, 77.1384406];New Delhi/India/Asia
4692;Turtle Bay;1100;3.4;Average;74.0;2017-04-06T01:07:51Z;[28.6543517, 77.1362569];New Delhi/India/Asia
4693;Yakooz;550;3.1;Average;20.0;2017-04-12T08:39:17Z;[28.6489739, 77.130674];New Delhi/India/Asia
4694;Above & Beyond;1200;3.5;Good;133.0;2017-08-21T21:55:05Z;[28.6546314, 77.1375537];New Delhi/India/Asia
4695;Bawa Chicken;650;3.5;Good;98.0;2018-09-05T22:21:07Z;[28.6552663, 77.14285190000001];New Delhi/India/Asia
4696;Chatore;250;3.6;Good;26.0;2017-06-01T21:43:27Z;[28.6521899, 77.1438814];New Delhi/India/Asia
4697;Chocomore;500;3.7;Good;68.0;2017-10-16T15:42:25Z;[28.6138954, 77.2090057];New Delhi/India/Asia
4698;Clay 1 Grill;1000;3.6;Good;283.0;2016-11-17T01:54:27Z;[28.6555949, 77.1394952];New Delhi/India/Asia
4699;Firangi Island;1200;3.5;Good;21.0;2016-07-04T11:57:12Z;[28.6575383, 77.15198240000001];New Delhi/India/Asia
4700;Jeet Chaat Bhandar;150;3.5;Good;23.0;2018-01-11T18:46:56Z;[28.651894899999995, 77.129287];New Delhi/India/Asia
4701;Mr. Grill;600;3.6;Good;55.0;2016-02-28T00:57:10Z;[28.6554434, 77.1374755];New Delhi/India/Asia
4702;Tikka Junction;750;3.5;Good;102.0;2017-12-03T15:20:03Z;[28.6559956, 77.1409427];New Delhi/India/Asia
4703;Momos Hut & Chinese Food;500;2.4;Poor;20.0;2018-02-13T08:05:45Z;[28.6503488, 77.1367382];New Delhi/India/Asia
4704;Wah Ji Wah;350;2.1;Poor;54.0;2017-10-21T08:02:21Z;[28.6517775, 77.1284425];New Delhi/India/Asia
4705;Yo! China;800;2.4;Poor;39.0;2018-08-21T20:46:47Z;[28.6568197, 77.1466423];New Delhi/India/Asia
4706;Aapki Apni Rasoi;200;2.9;Average;6.0;2017-11-28T18:13:01Z;[28.661112, 77.28626159999999];New Delhi/India/Asia
4707;Aapki Rasoi;250;3.0;Average;15.0;2016-03-25T06:36:32Z;[28.6611167, 77.28618829999999];New Delhi/India/Asia
4708;Advance Bakery;200;2.9;Average;7.0;2017-07-15T15:50:36Z;[28.6138954, 77.2090057];New Delhi/India/Asia
4709;Apni Rasoi;300;2.9;Average;16.0;2017-01-27T07:46:05Z;[28.66551167, 77.284295];New Delhi/India/Asia
4710;Bakeyard;300;3.0;Average;6.0;2017-02-10T13:57:44Z;[28.6138954, 77.2090057];New Delhi/India/Asia
4711;Bharat Chicken Inn Foods;400;2.9;Average;9.0;2018-08-07T06:07:47Z;[28.65854624, 77.27581099];New Delhi/India/Asia
4712;Bobby Veg Corner;350;2.9;Average;5.0;2016-07-15T09:25:51Z;[28.57606, 77.24231];New Delhi/India/Asia
4713;Brunch Point;150;2.9;Average;4.0;2018-08-07T10:46:11Z;[28.65905, 77.2821];New Delhi/India/Asia
4714;Bunty Dhaba;500;2.5;Average;50.0;2016-03-23T08:24:02Z;[28.6590466, 77.273111];New Delhi/India/Asia
4715;Chandni Chowk Ka Sonu Parathe Wala;100;3.1;Average;12.0;2016-10-03T13:31:33Z;[28.658652000000004, 77.27225809999999];New Delhi/India/Asia
4716;Chankya;500;3.2;Average;79.0;2017-04-26T16:24:42Z;[28.659351399999995, 77.2815054];New Delhi/India/Asia
4717;Chaudhary Di Hatti;150;3.3;Average;20.0;2016-09-01T15:15:27Z;[28.6602651, 77.2814976];New Delhi/India/Asia
4718;Cook Du Kdu;650;3.2;Average;52.0;2016-01-04T00:09:57Z;[28.65986279, 77.2882675];New Delhi/India/Asia
4719;Daawat Restaurant;500;3.3;Average;26.0;2017-07-08T16:23:54Z;[28.65981866, 77.28064599999999];New Delhi/India/Asia
4720;Delhi Dairy;350;3.2;Average;11.0;2016-04-25T13:16:22Z;[28.6138954, 77.2090057];New Delhi/India/Asia
4721;Domino's Pizza;700;2.9;Average;13.0;2016-11-05T14:18:30Z;[28.6522731, 77.2778171];New Delhi/India/Asia
4722;Domino's Pizza;700;3.1;Average;75.0;2018-12-28T20:30:19Z;[28.66104399, 77.27881640000001];New Delhi/India/Asia
4723;F 2 Pastry Shop;150;3.3;Average;26.0;2016-09-23T23:11:47Z;[28.6602119, 77.28128259999998];New Delhi/India/Asia
4724;Food Villa;700;2.9;Average;10.0;2017-12-08T20:53:48Z;[28.65951181, 77.27833997];New Delhi/India/Asia
4725;Goosebumps;300;3.2;Average;6.0;2017-08-16T20:27:31Z;[28.6523602, 77.2779662];New Delhi/India/Asia
4726;Gulab;500;3.3;Average;12.0;2018-08-04T20:41:46Z;[28.6592567, 77.2836334];New Delhi/India/Asia
4727;Health Buzzz;350;3.1;Average;22.0;2017-04-24T04:37:56Z;[28.65975, 77.285347];New Delhi/India/Asia
4728;Jain Dhaba;400;3.2;Average;30.0;2018-07-07T14:13:48Z;[28.658902500000003, 77.27232740000001];New Delhi/India/Asia
4729;Jeeta Kulfi Walle;100;3.3;Average;12.0;2018-12-29T00:11:47Z;[28.6596933, 77.279894];New Delhi/India/Asia
4730;Kamal Meat House;400;2.6;Average;15.0;2017-10-05T19:36:09Z;[28.657741100000003, 77.2725723];New Delhi/India/Asia
4731;Katyani Rasoi;300;3.2;Average;10.0;2017-01-30T21:44:34Z;[28.652309, 77.2767835];New Delhi/India/Asia
4732;Magic Masala;400;3.0;Average;11.0;2017-12-25T10:36:31Z;[28.6593873, 77.2819196];New Delhi/India/Asia
4733;Masala Magic;400;3.0;Average;16.0;2016-05-29T09:11:41Z;[28.6592597, 77.2815369];New Delhi/India/Asia
4734;Mother Sweets;100;3.4;Average;15.0;2016-12-15T21:48:18Z;[28.6579219, 77.2843782];New Delhi/India/Asia
4735;Panj Taara;600;3.1;Average;8.0;2016-07-12T18:35:54Z;[28.6573761, 77.2805179];New Delhi/India/Asia
4736;Prince Fried N Grilled Chicken;450;2.7;Average;18.0;2017-02-15T13:49:32Z;[28.652892, 77.2776449];New Delhi/India/Asia
4737;Punjabi's Veg Grill;400;3.1;Average;10.0;2017-11-30T00:59:05Z;[28.6598057, 77.28298670000001];New Delhi/India/Asia
4738;Raja Chat Corner;100;3.3;Average;20.0;2017-03-12T15:33:21Z;[28.6592244, 77.2836092];New Delhi/India/Asia
4739;Rajshree;550;3.3;Average;16.0;2017-09-07T13:15:24Z;[28.6573846, 77.28060759999998];New Delhi/India/Asia
4740;Sachdeva Chicken Corner;500;3.4;Average;39.0;2016-08-09T04:57:06Z;[28.6583725, 77.2750291];New Delhi/India/Asia
4741;Shree Rathnam;800;2.9;Average;66.0;2016-05-11T10:21:05Z;[28.6602389, 77.2814156];New Delhi/India/Asia
4742;Sialkot;250;3.1;Average;7.0;2017-07-22T11:28:36Z;[28.6515992, 77.27818359999999];New Delhi/India/Asia
4743;Singh-O-Singh Kebabs;500;3.1;Average;54.0;2017-11-23T16:26:09Z;[28.65563419, 77.28203908];New Delhi/India/Asia
4744;Super Snacks;500;3.1;Average;44.0;2017-02-28T23:55:53Z;[28.6595627, 77.2794854];New Delhi/India/Asia
4745;Tandoori Night;600;3.1;Average;15.0;2016-08-28T18:28:18Z;[28.6588784, 77.27633871];New Delhi/India/Asia
4746;The Chaupal Bar And Restaurant;800;2.9;Average;14.0;2016-04-30T07:17:22Z;[28.659888899999995, 77.2833907];New Delhi/India/Asia
4747;The Grill Point;350;3.0;Average;4.0;2017-03-31T03:33:18Z;[28.6138954, 77.2090057];New Delhi/India/Asia
4748;The Roll Hut;200;3.1;Average;13.0;2017-05-21T07:57:59Z;[28.6580718, 77.27388590000001];New Delhi/India/Asia
4749;Triveni;300;3.2;Average;31.0;2016-02-17T02:20:25Z;[28.6565918, 77.27317120000001];New Delhi/India/Asia
4750;Gokul Foods;550;3.6;Good;22.0;2016-08-09T09:51:49Z;[28.6519405, 77.27800409999999];New Delhi/India/Asia
4751;Papa Pizza;450;3.5;Good;21.0;2017-12-09T23:31:54Z;[28.6575847, 77.2855453];New Delhi/India/Asia
4752;Aalishaan;300;0.0;Not rated;2.0;2017-06-20T10:53:10Z;[28.65124712, 77.28353441];New Delhi/India/Asia
4753;Amritsari Chaat Bhandar;200;0.0;Not rated;1.0;2017-09-06T12:39:16Z;[28.6138954, 77.2090057];New Delhi/India/Asia
4754;Bansal Foods;600;0.0;Not rated;0.0;2016-05-30T08:40:41Z;[28.6138954, 77.2090057];New Delhi/India/Asia
4755;Bhatia Chinese Food;200;0.0;Not rated;0.0;2016-02-12T08:45:55Z;[28.6551369, 77.28214670000001];New Delhi/India/Asia
4756;Break Fast Junction;200;0.0;Not rated;0.0;2018-10-11T06:33:22Z;[28.65558682, 77.28215106];New Delhi/India/Asia
4757;Breakfast Hut;200;0.0;Not rated;0.0;2018-03-15T03:06:59Z;[28.6555214, 77.2822453];New Delhi/India/Asia
4758;Buddy 's. Pizza;300;0.0;Not rated;0.0;2018-11-03T22:45:52Z;[28.660629, 77.28255240000001];New Delhi/India/Asia
4759;Chai Garam;150;0.0;Not rated;0.0;2016-04-24T05:08:27Z;[28.65748122, 77.28349753];New Delhi/India/Asia
4760;Deepu Fish & Chicken;500;0.0;Not rated;2.0;2017-06-26T03:00:23Z;[28.6588582, 77.27628940000001];New Delhi/India/Asia
4761;deliKitchen;350;0.0;Not rated;3.0;2017-11-22T03:21:13Z;[28.6138954, 77.2090057];New Delhi/India/Asia
4762;Dial A Cake;400;0.0;Not rated;2.0;2018-01-08T05:27:10Z;[28.65655592, 77.28099915];New Delhi/India/Asia
4763;Fuel Diet Cafe;350;0.0;Not rated;0.0;2017-11-21T20:06:49Z;[28.6576075, 77.28421879999999];New Delhi/India/Asia
4764;GO CHATZ With Breadz;250;0.0;Not rated;1.0;2018-01-01T17:11:30Z;[28.6590094, 77.28083259999998];New Delhi/India/Asia
4765;Goldy Chat Bhandar;100;0.0;Not rated;0.0;2018-10-03T17:02:13Z;[28.66, 77.28];New Delhi/India/Asia
4766;Green Chick Chop;350;0.0;Not rated;2.0;2018-09-24T05:37:25Z;[28.65948063, 77.27822732];New Delhi/India/Asia
4767;Hungry Heights;300;0.0;Not rated;2.0;2016-02-27T14:27:36Z;[28.6602512, 77.2815094];New Delhi/India/Asia
4768;Kebabish;550;0.0;Not rated;0.0;2017-07-05T04:37:29Z;[28.6525016, 77.2777796];New Delhi/India/Asia
4769;Khalsa Dhaba;350;0.0;Not rated;0.0;2018-08-13T20:38:14Z;[28.6590094, 77.2730949];New Delhi/India/Asia
4770;Khanna's Hot Pizza;350;0.0;Not rated;1.0;2016-02-16T06:59:05Z;[28.659756400000003, 77.28295229999999];New Delhi/India/Asia
4771;Lets Eat Veg;450;0.0;Not rated;2.0;2016-11-07T10:07:29Z;[28.659436100000004, 77.2820172];New Delhi/India/Asia
4772;Mitra Da Dhabha;350;0.0;Not rated;0.0;2016-09-30T14:58:29Z;[28.6138954, 77.2090057];New Delhi/India/Asia
4773;Murliwala Bakers;250;0.0;Not rated;0.0;2017-11-30T21:41:16Z;[28.651044, 77.285269];New Delhi/India/Asia
4774;Panjabi Chic-Shoppe;300;0.0;Not rated;0.0;2018-08-15T09:01:12Z;[28.65997, 77.28330090000001];New Delhi/India/Asia
4775;Raj Petha Bhandar;200;0.0;Not rated;1.0;2018-11-11T01:30:53Z;[28.660019, 77.28334579999999];New Delhi/India/Asia
4776;Ramlal Sweets;100;0.0;Not rated;0.0;2018-12-12T08:57:57Z;[28.6530845, 77.2777667];New Delhi/India/Asia
4777;Sanjha Chula Baba Da;250;0.0;Not rated;1.0;2018-08-31T18:47:44Z;[28.6600095, 77.2832005];New Delhi/India/Asia
4778;Sri Krishna;200;0.0;Not rated;0.0;2018-03-01T12:12:26Z;[28.659873, 77.28318279999999];New Delhi/India/Asia
